epochs,loss
0,0.307650876652
1,0.166809765455
2,0.132376814513
3,0.117913287364
4,0.0997376941495
5,0.0893558925274
6,0.0796343044281
7,0.0685636215097
8,0.0637277288104
9,0.0489836930791
